Name,String,MinimumCycles
IsPrefixOfStringInTable_x64_5,$Cairo,34406
IntegerDivision_x64_1,$Cairo,95320
IsPrefixOfCStrInArray,$INDEX_ALLOCATION,175122
IsPrefixOfStringInTable_1,$INDEX_ALLOCATION,144920
IsPrefixOfStringInTable_2,$INDEX_ALLOCATION,37718
IsPrefixOfStringInTable_3,$INDEX_ALLOCATION,33440
IsPrefixOfStringInTable_4,$INDEX_ALLOCATION,34772
IsPrefixOfStringInTable_5,$INDEX_ALLOCATION,65026
IsPrefixOfStringInTable_6,$INDEX_ALLOCATION,32192
IsPrefixOfStringInTable_7,$INDEX_ALLOCATION,31294
IsPrefixOfStringInTable_8,$INDEX_ALLOCATION,31072
IsPrefixOfStringInTable_9,$INDEX_ALLOCATION,30382
IsPrefixOfStringInTable_10,$INDEX_ALLOCATION,32032
IsPrefixOfStringInTable_11,$INDEX_ALLOCATION,29932
IsPrefixOfStringInTable_12,$INDEX_ALLOCATION,30978
IsPrefixOfStringInTable_13,$INDEX_ALLOCATION,27754
IsPrefixOfStringInTable_14,$INDEX_ALLOCATION,27920
IsPrefixOfStringInTable_x64_1,$INDEX_ALLOCATION,7526
IsPrefixOfStringInTable_x64_2,$INDEX_ALLOCATION,43662
IsPrefixOfStringInTable_x64_3,$INDEX_ALLOCATION,118934
IsPrefixOfStringInTable_x64_4,$INDEX_ALLOCATION,43864
IsPrefixOfStringInTable_x64_5,$INDEX_ALLOCATION,43268
IntegerDivision_x64_1,$INDEX_ALLOCATION,95320
IsPrefixOfCStrInArray,$DATA,163096
IsPrefixOfStringInTable_1,$DATA,64014
IsPrefixOfStringInTable_2,$DATA,28938
IsPrefixOfStringInTable_3,$DATA,26798
IsPrefixOfStringInTable_4,$DATA,29386
IsPrefixOfStringInTable_5,$DATA,72326
IsPrefixOfStringInTable_6,$DATA,26046
IsPrefixOfStringInTable_7,$DATA,25922
IsPrefixOfStringInTable_8,$DATA,25202
IsPrefixOfStringInTable_9,$DATA,24390
IsPrefixOfStringInTable_10,$DATA,24364
